l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
1061,1102,75,3,26.0,26080.6,0.08,0.02,N,O,1998-06-18,1998-07-25,1998-06-24,TAKE BACK RETURN,AIR,to beans. f,1998
1061,1301,2,5,50.0,60115.0,0.04,0.08,N,O,1998-05-25,1998-07-22,1998-06-22,COLLECT COD,AIR,"al foxes doze after the final,",1998
1090,216,17,1,5.0,5581.05,0.02,0.05,N,O,1998-02-19,1997-12-25,1998-02-24,DELIVER IN PERSON,AIR,gular platel,1998
1094,1145,46,1,9.0,9415.26,0.07,0.06,N,O,1997-12-28,1998-03-16,1998-01-18,DELIVER IN PERSON,AIR,cross the bl,1998
1124,923,58,3,35.0,63837.2,0.1,0.05,N,O,1998-11-25,1998-10-08,1998-12-25,TAKE BACK RETURN,AIR, unusual ideas cajole. slyly iron,1998
1315,158,37,2,15.0,15872.25,0.05,0.01,N,O,1998-07-12,1998-06-10,1998-08-07,COLLECT COD,AIR,wake furiously carefully ironic req,1998
1318,1137,46,1,24.0,24915.12,0.08,0.06,N,O,1998-09-27,1998-09-15,1998-10-12,TAKE BACK RETURN,AIR,s nag. unusual dependencies use fu,1998
1318,1284,22,3,31.0,36743.68,0.01,0.04,N,O,1998-08-25,1998-07-31,1998-08-31,COLLECT COD,AIR,ly pending foxes are ,1998
1348,1983,84,3,40.0,75399.2,0.07,0.05,N,O,1998-08-14,1998-07-10,1998-08-27,COLLECT COD,AIR,ing requests.,1998
1377,323,52,5,19.0,23243.08,0.1,0.0,N,O,1998-06-20,1998-06-27,1998-07-20,NONE,AIR,nto beans haggle slyly,1998
1379,729,62,1,13.0,21186.36,0.04,0.01,N,O,1998-06-08,1998-07-13,1998-06-16,NONE,AIR,c decoys use deposits. platele,1998
1381,1431,71,1,47.0,62624.21,0.08,0.04,N,O,1998-09-22,1998-08-12,1998-10-12,DELIVER IN PERSON,AIR,ts wake boldly abo,1998
1381,332,61,2,12.0,14787.96,0.07,0.08,N,O,1998-08-13,1998-08-12,1998-08-28,TAKE BACK RETURN,AIR,tions eat furiously slyly ,1998
1408,1724,9,2,7.0,11380.04,0.05,0.06,N,O,1998-01-14,1998-03-21,1998-01-29,COLLECT COD,AIR,"ven, express pinto beans haggle blithely",1998
1475,1173,74,2,18.0,19335.06,0.07,0.0,N,O,1998-03-08,1998-01-18,1998-03-10,TAKE BACK RETURN,AIR,haggle furiously. enticingly ironic deposit,1998
1508,1472,90,4,1.0,1373.47,0.02,0.02,N,O,1998-07-13,1998-06-03,1998-07-17,TAKE BACK RETURN,AIR,"final, unusual requests. ironic",1998
1605,1419,37,1,47.0,62059.27,0.0,0.01,N,O,1998-04-29,1998-06-12,1998-05-20,DELIVER IN PERSON,AIR,y regular the,1998
1605,1826,56,4,25.0,43195.5,0.06,0.02,N,O,1998-05-26,1998-06-14,1998-06-05,COLLECT COD,AIR,dolites wake slyl,1998
1730,1614,15,2,15.0,22734.15,0.07,0.04,N,O,1998-09-07,1998-09-12,1998-09-30,TAKE BACK RETURN,AIR,beside the even deposits. blithe,1998
1920,954,55,1,24.0,44518.8,0.04,0.05,N,O,1998-09-27,1998-08-23,1998-10-15,DELIVER IN PERSON,AIR,rint packages. ca,1998
1920,338,23,5,14.0,17336.62,0.08,0.05,N,O,1998-10-22,1998-08-10,1998-10-27,DELIVER IN PERSON,AIR,tions nag care,1998
1984,521,12,1,45.0,63968.4,0.03,0.04,N,O,1998-04-09,1998-06-11,1998-05-01,COLLECT COD,AIR,rding to the slyly final i,1998
2087,1673,97,2,46.0,72434.82,0.1,0.03,N,O,1998-02-24,1998-04-02,1998-03-04,DELIVER IN PERSON,AIR, packages across ,1998
2115,1952,97,1,27.0,50056.65,0.06,0.03,N,O,1998-09-01,1998-07-29,1998-09-04,NONE,AIR,"ular excuses. ironic, regular acco",1998
2371,342,71,2,21.0,26089.14,0.0,0.05,N,O,1998-04-14,1998-02-14,1998-04-18,COLLECT COD,AIR,. blithely final d,1998
2371,421,80,4,33.0,43606.86,0.05,0.08,N,O,1998-03-30,1998-02-06,1998-04-05,DELIVER IN PERSON,AIR, should have to sle,1998
2561,971,40,2,5.0,9359.85,0.07,0.04,N,O,1997-12-27,1998-01-23,1998-01-13,TAKE BACK RETURN,AIR,"y quick accounts. bold, regula",1998
2565,1437,38,1,42.0,56214.06,0.04,0.08,N,O,1998-04-07,1998-04-02,1998-05-04,NONE,AIR,tions-- even,1998
2565,755,56,5,26.0,43049.5,0.08,0.03,N,O,1998-03-05,1998-04-11,1998-03-11,TAKE BACK RETURN,AIR,o beans among the even,1998
2567,804,4,5,46.0,78420.8,0.07,0.02,N,O,1998-06-02,1998-04-30,1998-06-13,COLLECT COD,AIR,late blithely. carefully express reque,1998
2629,1231,43,2,31.0,35099.13,0.08,0.03,N,O,1998-05-24,1998-05-26,1998-06-10,COLLECT COD,AIR, final packages. ironic requests sleep de,1998
2629,1275,76,3,29.0,34111.83,0.08,0.07,N,O,1998-07-09,1998-06-17,1998-07-12,TAKE BACK RETURN,AIR,liers! final pinto beans alongsi,1998
2758,1209,84,1,20.0,22204.0,0.02,0.04,N,O,1998-07-27,1998-09-10,1998-08-21,TAKE BACK RETURN,AIR,uriously express accou,1998
2784,324,81,1,45.0,55094.4,0.03,0.01,N,O,1998-02-15,1998-04-07,1998-02-26,COLLECT COD,AIR,deposits wake about the courts?,1998
2784,536,37,2,23.0,33040.19,0.03,0.05,N,O,1998-03-28,1998-02-07,1998-04-17,DELIVER IN PERSON,AIR," the special, spe",1998
2784,281,82,4,3.0,3543.84,0.04,0.03,N,O,1998-01-19,1998-04-05,1998-02-05,TAKE BACK RETURN,AIR, along the blithely final packages sl,1998
2789,1323,100,7,42.0,51421.44,0.01,0.0,N,O,1998-04-28,1998-05-17,1998-05-24,TAKE BACK RETURN,AIR,s alongside of the en,1998
2944,1199,100,1,44.0,48408.36,0.08,0.05,N,O,1997-12-25,1997-10-28,1998-01-21,COLLECT COD,AIR, beans. quickly careful,1998
3170,884,51,3,27.0,48191.76,0.0,0.05,N,O,1998-02-25,1998-01-29,1998-02-27,COLLECT COD,AIR,uests. furiously even dependen,1998
3523,1332,33,5,48.0,59199.84,0.0,0.01,N,O,1998-07-22,1998-06-25,1998-08-19,DELIVER IN PERSON,AIR,deposits cajole a,1998
3618,621,53,3,24.0,36518.88,0.01,0.04,N,O,1998-01-26,1998-01-15,1998-02-17,TAKE BACK RETURN,AIR, requests.,1998
3618,1605,6,4,26.0,39171.6,0.01,0.05,N,O,1998-03-23,1998-01-24,1998-04-15,DELIVER IN PERSON,AIR, accounts. carefully regular accounts a,1998
3686,1992,37,2,38.0,71971.62,0.06,0.03,N,O,1998-09-04,1998-08-11,1998-09-19,DELIVER IN PERSON,AIR,ers boost furiously at the regular pack,1998
3713,1770,13,2,19.0,31763.63,0.04,0.04,N,O,1998-06-25,1998-07-24,1998-07-08,DELIVER IN PERSON,AIR,ly against the special pinto beans. slyl,1998
3714,1589,90,3,16.0,23849.28,0.0,0.02,N,O,1998-05-25,1998-07-07,1998-06-17,TAKE BACK RETURN,AIR,es haggle furious,1998
3714,293,48,4,44.0,52504.76,0.04,0.02,N,O,1998-07-18,1998-07-10,1998-07-22,DELIVER IN PERSON,AIR,lyly stealthy foxes maintain dol,1998
3717,684,47,4,5.0,7923.4,0.06,0.03,N,O,1998-09-02,1998-08-20,1998-09-26,TAKE BACK RETURN,AIR,unts! pending ,1998
3748,1036,72,1,12.0,11244.36,0.06,0.01,N,O,1998-04-17,1998-04-15,1998-05-12,NONE,AIR,y. ideas a,1998
3811,1812,56,5,23.0,39417.63,0.0,0.04,N,O,1998-08-13,1998-07-09,1998-08-29,COLLECT COD,AIR,use quickly on the quickly unusual shea,1998
3873,1450,29,2,44.0,59463.8,0.05,0.05,N,O,1998-07-23,1998-05-22,1998-08-14,COLLECT COD,AIR,sits-- carefully final pa,1998
3904,1838,68,2,19.0,33056.77,0.09,0.01,N,O,1998-02-10,1998-02-13,1998-02-20,TAKE BACK RETURN,AIR,ymptotes-- special ideas wake blithe,1998
3937,1531,72,4,50.0,71626.5,0.01,0.02,N,O,1998-01-15,1998-01-09,1998-02-04,DELIVER IN PERSON,AIR,ckly according to the,1998
4192,1207,45,2,15.0,16623.0,0.04,0.08,N,O,1998-06-26,1998-05-26,1998-07-16,COLLECT COD,AIR, the regular deposits. blithely unusual p,1998
4192,471,59,5,48.0,65830.56,0.08,0.01,N,O,1998-08-17,1998-07-11,1998-09-03,NONE,AIR, use until the re,1998
4192,1699,23,7,27.0,43218.63,0.02,0.0,N,O,1998-07-03,1998-06-26,1998-07-13,TAKE BACK RETURN,AIR,t according to the furiously fi,1998
4196,1139,76,4,42.0,43685.46,0.04,0.06,N,O,1998-08-13,1998-07-18,1998-09-07,TAKE BACK RETURN,AIR,lphins sleep carefully express foxes.,1998
4229,954,23,1,44.0,81617.8,0.02,0.05,N,O,1998-05-29,1998-05-12,1998-06-16,DELIVER IN PERSON,AIR,usly express p,1998
4263,171,72,1,9.0,9640.53,0.08,0.07,N,O,1998-04-04,1998-04-29,1998-05-04,COLLECT COD,AIR,l packages cajole fina,1998
4322,1398,99,2,9.0,11694.51,0.05,0.08,N,O,1998-05-18,1998-04-27,1998-05-28,COLLECT COD,AIR,arefully final,1998
4322,595,26,6,39.0,58328.01,0.09,0.08,N,O,1998-03-16,1998-05-21,1998-04-11,COLLECT COD,AIR,ven accounts nag fu,1998
4386,199,26,7,16.0,17587.04,0.07,0.02,N,O,1998-05-05,1998-03-17,1998-06-03,COLLECT COD,AIR,ly even deposits haggl,1998
4448,902,3,5,41.0,73918.9,0.0,0.08,N,O,1998-07-30,1998-08-09,1998-08-03,NONE,AIR,usual deposits wake quickly. regular ,1998
4486,901,70,4,28.0,50453.2,0.07,0.02,N,O,1998-04-21,1998-04-19,1998-04-26,TAKE BACK RETURN,AIR,efully above the blithely ironic depend,1998
4549,881,15,2,1.0,1781.88,0.05,0.08,N,O,1998-05-04,1998-04-11,1998-05-14,TAKE BACK RETURN,AIR,osits along the blithely quick ,1998
4577,1841,85,1,43.0,74942.12,0.01,0.03,N,O,1998-06-16,1998-07-09,1998-06-17,TAKE BACK RETURN,AIR,ronic depo,1998
4613,72,98,4,36.0,34994.52,0.04,0.01,N,O,1998-04-22,1998-05-05,1998-05-04,DELIVER IN PERSON,AIR,dependencies haggle blithel,1998
4678,574,5,1,35.0,51609.95,0.04,0.08,N,O,1998-11-27,1998-10-02,1998-12-17,TAKE BACK RETURN,AIR,"ests. unusual, special foxes about t",1998
4678,1778,79,5,40.0,67190.8,0.03,0.07,N,O,1998-11-11,1998-10-27,1998-11-24,TAKE BACK RETURN,AIR, furiously dolphins. ideas boost quic,1998
4832,1483,23,3,4.0,5537.92,0.04,0.01,N,O,1998-01-16,1998-02-12,1998-02-08,TAKE BACK RETURN,AIR,ges sleep according to the furiously ir,1998
4901,1198,35,3,16.0,17587.04,0.05,0.08,N,O,1998-04-19,1998-03-18,1998-04-21,NONE,AIR,eat carefully across t,1998
4901,357,58,4,41.0,51551.35,0.03,0.0,N,O,1998-03-18,1998-02-18,1998-04-14,TAKE BACK RETURN,AIR,nal multipliers. dependencies at the exp,1998
4997,572,73,3,24.0,35341.68,0.04,0.06,N,O,1998-04-20,1998-04-23,1998-05-16,NONE,AIR,yly. furio,1998
5184,1526,7,1,33.0,47108.16,0.07,0.04,N,O,1998-08-17,1998-10-16,1998-08-24,TAKE BACK RETURN,AIR,"asymptotes. final, ironic deposit",1998
5344,663,64,3,26.0,40655.16,0.02,0.06,N,O,1998-08-27,1998-08-22,1998-09-24,NONE,AIR,lar realms. regular orbits hinder tith,1998
5348,167,68,3,16.0,17074.56,0.06,0.08,N,O,1998-02-28,1997-12-25,1998-03-12,DELIVER IN PERSON,AIR,its mold across the slyly ,1998
5410,1168,69,1,48.0,51319.68,0.04,0.08,N,O,1998-09-27,1998-09-11,1998-10-01,TAKE BACK RETURN,AIR,ietly quickly even tithes. regular ideas ha,1998
5412,964,33,4,26.0,48488.96,0.02,0.08,N,O,1998-01-22,1998-04-19,1998-02-17,NONE,AIR,ans are slyl,1998
5442,872,72,2,45.0,79779.15,0.08,0.01,N,O,1998-03-30,1998-02-24,1998-04-18,TAKE BACK RETURN,AIR,e furiously iron,1998
5442,1436,54,6,26.0,34773.18,0.08,0.07,N,O,1998-03-21,1998-03-21,1998-03-25,TAKE BACK RETURN,AIR,y above the special packages-- express de,1998
5505,1815,45,2,33.0,56654.73,0.05,0.08,N,O,1998-01-11,1997-11-11,1998-01-30,TAKE BACK RETURN,AIR, even theodolites. ironic asymp,1998
5507,96,47,1,23.0,22910.07,0.05,0.04,N,O,1998-09-04,1998-07-04,1998-09-18,TAKE BACK RETURN,AIR,ironic instructions. fluffily final ac,1998
5507,1377,78,2,48.0,61361.76,0.03,0.01,N,O,1998-08-03,1998-08-10,1998-08-24,DELIVER IN PERSON,AIR,ly. quickly regular deposits nod ne,1998
5633,1018,19,2,10.0,9190.1,0.09,0.04,N,O,1998-07-15,1998-08-03,1998-08-03,COLLECT COD,AIR,unts x-ray quickly. fluffily unusual accou,1998
5633,459,60,3,27.0,36705.15,0.03,0.02,N,O,1998-09-28,1998-07-28,1998-10-12,DELIVER IN PERSON,AIR,ate about the accounts. quickly silent ,1998
5671,1195,68,1,25.0,27404.75,0.0,0.08,N,O,1998-04-17,1998-03-28,1998-05-06,DELIVER IN PERSON,AIR,"ermanent packages might boost. special, ",1998
5763,1892,93,6,9.0,16145.01,0.08,0.02,N,O,1998-09-24,1998-09-01,1998-10-02,NONE,AIR,"n, pending packag",1998
5826,1440,80,1,4.0,5365.76,0.03,0.06,N,O,1998-07-31,1998-09-10,1998-08-27,NONE,AIR," theodolites sleep regular, silent",1998
5857,1180,17,4,12.0,12974.16,0.03,0.08,N,O,1998-01-24,1997-12-27,1998-02-10,TAKE BACK RETURN,AIR,quickly special dolphi,1998
6021,630,24,1,16.0,24490.08,0.06,0.07,N,O,1998-01-28,1997-12-14,1998-02-11,COLLECT COD,AIR,y unusual packages haggle slyly; ironic,1998
6087,1198,7,4,10.0,10991.9,0.05,0.0,N,O,1998-01-21,1998-03-26,1998-01-29,TAKE BACK RETURN,AIR,quickly pending excuses cajole. final pi,1998
6113,1722,7,1,48.0,77938.56,0.09,0.03,N,O,1998-11-11,1998-09-23,1998-11-22,NONE,AIR,cuses. slyly regular ,1998
6145,1977,78,1,14.0,26305.58,0.04,0.0,N,O,1998-06-27,1998-06-10,1998-07-27,NONE,AIR,he requests. final deposits use,1998
6240,965,100,2,36.0,67174.56,0.01,0.08,N,O,1998-09-06,1998-08-20,1998-09-17,NONE,AIR,along the regular deposits. furiously r,1998
6245,1963,8,2,29.0,54083.84,0.0,0.0,N,O,1998-02-04,1998-01-10,1998-02-16,TAKE BACK RETURN,AIR,lly ironic accounts w,1998
6306,1722,49,1,16.0,25979.52,0.08,0.01,N,O,1998-07-25,1998-06-16,1998-07-28,COLLECT COD,AIR,ss furiously instead of the ironic dep,1998
6343,1360,99,3,31.0,39102.16,0.05,0.07,N,O,1998-07-08,1998-06-07,1998-07-28,DELIVER IN PERSON,AIR,above the quickly final deposits.,1998
6343,1336,37,4,25.0,30933.25,0.0,0.0,N,O,1998-05-04,1998-06-15,1998-05-20,NONE,AIR,ular accoun,1998
6343,676,77,5,48.0,75680.16,0.1,0.04,N,O,1998-04-30,1998-06-16,1998-05-18,NONE,AIR,s according to the iro,1998
6375,396,97,5,4.0,5185.56,0.03,0.01,N,O,1998-03-05,1998-01-10,1998-03-25,NONE,AIR,refully. furiously,1998
6471,380,9,1,49.0,62738.62,0.09,0.03,N,O,1998-05-18,1998-03-31,1998-06-12,NONE,AIR,ts around the ,1998
6533,1940,85,1,20.0,36838.8,0.09,0.07,N,O,1998-04-19,1998-04-19,1998-05-05,DELIVER IN PERSON,AIR,furiously according to the carefully,1998
6597,281,63,1,34.0,40163.52,0.09,0.03,N,O,1998-08-20,1998-09-24,1998-09-10,TAKE BACK RETURN,AIR,e quickly sl,1998
6789,341,98,1,2.0,2482.68,0.08,0.06,N,O,1998-06-11,1998-06-27,1998-07-01,COLLECT COD,AIR,thely ironic accounts.,1998
6816,218,19,1,20.0,22364.2,0.01,0.02,N,O,1998-05-21,1998-03-19,1998-06-13,DELIVER IN PERSON,AIR,es. quickly final req,1998
6819,179,6,4,20.0,21583.4,0.07,0.08,N,O,1998-04-30,1998-05-24,1998-05-12,COLLECT COD,AIR,ts wake carefully blithely even package,1998
6919,1490,91,4,22.0,30612.78,0.09,0.04,N,O,1998-07-05,1998-06-04,1998-07-26,DELIVER IN PERSON,AIR,round the ironically regular,1998
7168,768,33,3,21.0,35043.96,0.08,0.07,N,O,1998-02-21,1998-02-14,1998-03-09,NONE,AIR,ial ideas sleep special requests. careful,1998
7168,1432,33,7,47.0,62671.21,0.02,0.02,N,O,1998-02-11,1998-01-23,1998-03-04,TAKE BACK RETURN,AIR, slyly even pinto beans sleep carefully af,1998
7170,1840,41,1,33.0,57480.72,0.03,0.07,N,O,1998-02-15,1997-12-15,1998-02-28,DELIVER IN PERSON,AIR,bold accounts.,1998
7207,1144,53,1,47.0,49121.58,0.0,0.07,N,O,1998-06-16,1998-04-05,1998-07-04,COLLECT COD,AIR,efully ironic accounts alongsi,1998
7232,1677,1,1,47.0,74197.49,0.01,0.0,N,O,1998-06-23,1998-04-29,1998-06-27,TAKE BACK RETURN,AIR,"nto beans. regular, even packages ",1998
7237,1057,63,2,23.0,22035.15,0.05,0.06,N,O,1998-05-13,1998-02-22,1998-05-14,DELIVER IN PERSON,AIR, final requests. ir,1998
7264,1248,49,2,22.0,25283.28,0.1,0.03,N,O,1998-04-22,1998-04-30,1998-04-30,TAKE BACK RETURN,AIR,deposits. furiously d,1998
7270,1308,47,3,6.0,7255.8,0.1,0.06,N,O,1998-02-26,1998-03-12,1998-03-07,COLLECT COD,AIR,ar dolphins beside the slyly reg,1998
7271,1456,96,1,1.0,1357.45,0.06,0.08,N,O,1998-08-14,1998-10-14,1998-08-23,NONE,AIR,uickly slyly iron,1998
7271,1257,32,4,8.0,9266.0,0.1,0.06,N,O,1998-10-06,1998-10-16,1998-11-04,DELIVER IN PERSON,AIR,excuses integrate. regular theodolites bre,1998
7328,298,26,7,8.0,9586.32,0.01,0.06,N,O,1998-08-18,1998-06-27,1998-09-11,NONE,AIR,ses. regular requests cajole blit,1998
7330,396,53,1,45.0,58337.55,0.08,0.08,N,O,1998-09-04,1998-09-28,1998-09-09,COLLECT COD,AIR,"c, ironic escapades haggle flu",1998
7365,184,63,3,44.0,47703.92,0.02,0.02,N,O,1998-07-03,1998-05-07,1998-07-07,NONE,AIR,"y. regular, pending deposits among the q",1998
7365,1174,83,5,41.0,44081.97,0.07,0.0,N,O,1998-04-24,1998-05-03,1998-05-11,DELIVER IN PERSON,AIR,"asymptotes. unusual, p",1998
7394,493,81,3,1.0,1393.49,0.07,0.04,N,O,1998-10-31,1998-08-13,1998-11-29,TAKE BACK RETURN,AIR,ly final pa,1998
7491,1496,97,1,8.0,11179.92,0.0,0.02,N,O,1998-04-30,1998-06-28,1998-05-02,TAKE BACK RETURN,AIR,"lar, pending reques",1998
7491,1482,22,2,46.0,63640.08,0.09,0.08,N,O,1998-08-02,1998-05-26,1998-08-19,NONE,AIR,longside of the carefully quick,1998
7590,689,21,2,22.0,34972.96,0.09,0.08,N,O,1998-07-08,1998-06-05,1998-07-15,COLLECT COD,AIR,efully unusual packages. quickly expre,1998
7590,1695,19,3,13.0,20756.97,0.04,0.04,N,O,1998-05-09,1998-07-15,1998-05-18,NONE,AIR,azzle slyly,1998
7617,520,11,1,47.0,66764.44,0.1,0.06,N,O,1998-09-19,1998-09-09,1998-09-27,NONE,AIR,"ggle regular, ironic depo",1998
7617,749,14,2,24.0,39593.76,0.1,0.04,N,O,1998-07-31,1998-08-07,1998-08-18,NONE,AIR,he furiously,1998
7617,1323,100,6,44.0,53870.08,0.02,0.06,N,O,1998-10-01,1998-09-09,1998-10-29,COLLECT COD,AIR,unusual pinto beans.,1998
7682,1067,73,2,12.0,11616.72,0.1,0.06,N,O,1997-12-06,1997-12-01,1998-01-03,DELIVER IN PERSON,AIR,"iously final, ironic instructions. slyly pe",1998
7683,1798,41,3,29.0,49293.91,0.04,0.05,N,O,1998-05-24,1998-05-10,1998-06-08,NONE,AIR,s across the blithely final r,1998
7683,445,33,4,34.0,45744.96,0.1,0.05,N,O,1998-05-20,1998-03-28,1998-06-13,DELIVER IN PERSON,AIR,uriously regular deposits against the s,1998
7685,517,18,1,32.0,45360.32,0.1,0.02,N,O,1998-06-03,1998-04-27,1998-06-05,DELIVER IN PERSON,AIR,onic packages. blithely expre,1998
7685,574,75,4,22.0,32440.54,0.07,0.08,N,O,1998-05-11,1998-04-05,1998-06-01,NONE,AIR,r platelets,1998
7718,291,19,1,8.0,9530.32,0.04,0.07,N,O,1998-03-15,1998-04-07,1998-03-19,DELIVER IN PERSON,AIR,"even, regular asymptotes.",1998
7874,1834,21,1,10.0,17358.3,0.08,0.04,N,O,1998-10-11,1998-08-16,1998-11-07,COLLECT COD,AIR,quickly regular asymptotes ,1998
7874,1243,81,2,29.0,33182.96,0.01,0.07,N,O,1998-06-29,1998-08-27,1998-07-09,NONE,AIR,"ously daring instructions use even, ",1998
7969,286,87,4,34.0,40333.52,0.04,0.04,N,O,1998-10-15,1998-09-13,1998-10-28,DELIVER IN PERSON,AIR, according to the,1998
7972,1211,23,2,11.0,12234.31,0.03,0.0,N,O,1998-09-11,1998-07-22,1998-10-04,COLLECT COD,AIR, slyly carefully silen,1998
8098,1211,12,1,21.0,23356.41,0.03,0.03,N,O,1997-12-13,1998-01-09,1998-01-11,NONE,AIR,nal accounts sleep quickly agai,1998
8129,808,8,3,8.0,13670.4,0.09,0.01,N,O,1998-04-08,1998-03-12,1998-05-02,COLLECT COD,AIR,beans do haggle. furiously regul,1998
8134,947,48,3,27.0,49894.38,0.06,0.04,N,O,1998-01-14,1997-12-25,1998-01-25,TAKE BACK RETURN,AIR,about the ruthlessly specia,1998
8134,1257,69,5,23.0,26639.75,0.05,0.06,N,O,1998-01-19,1998-01-22,1998-01-28,COLLECT COD,AIR,"ronic, even th",1998
8355,947,50,3,13.0,24023.22,0.09,0.07,N,O,1997-12-13,1998-02-13,1998-01-10,NONE,AIR,"s carefully final ideas. ironic, express ",1998
8549,926,29,4,50.0,91346.0,0.07,0.05,N,O,1998-01-17,1997-11-30,1998-02-02,TAKE BACK RETURN,AIR,ong the sly asymptotes affix furiously iron,1998
8643,1067,3,1,17.0,16457.02,0.1,0.08,N,O,1998-09-23,1998-09-02,1998-10-12,COLLECT COD,AIR,ts above the special courts snooze furi,1998
8708,421,9,5,17.0,22464.14,0.04,0.05,N,O,1998-03-12,1998-02-08,1998-04-04,NONE,AIR,egular foxes. blith,1998
8739,1746,73,1,20.0,32954.8,0.06,0.04,N,O,1998-08-18,1998-08-10,1998-09-10,TAKE BACK RETURN,AIR, carefully express pearls. fluff,1998
8866,1673,56,1,32.0,50389.44,0.04,0.0,N,O,1998-06-22,1998-04-09,1998-07-17,COLLECT COD,AIR,riously unusu,1998
8935,1941,30,1,49.0,90304.06,0.05,0.01,N,O,1998-06-15,1998-05-15,1998-06-22,COLLECT COD,AIR,usual ideas. slyly spe,1998
8964,537,68,3,1.0,1437.53,0.07,0.05,N,O,1998-04-04,1998-05-01,1998-04-12,TAKE BACK RETURN,AIR,n deposits across the pending,1998
9030,1502,3,5,47.0,65964.5,0.0,0.04,N,O,1998-09-29,1998-09-24,1998-10-13,COLLECT COD,AIR, quickly quickly even a,1998
9125,1232,70,3,14.0,15865.22,0.08,0.07,N,O,1998-06-05,1998-08-05,1998-06-11,TAKE BACK RETURN,AIR," grouches. regular, bold requests around th",1998
9188,1009,45,2,13.0,11830.0,0.06,0.0,N,O,1998-05-24,1998-03-02,1998-06-12,NONE,AIR,"sual, express dependenci",1998
9220,1125,62,1,1.0,1026.12,0.07,0.04,N,O,1998-07-06,1998-07-06,1998-08-03,DELIVER IN PERSON,AIR,accounts. furiously iron,1998
9280,576,67,6,14.0,20671.98,0.07,0.04,N,O,1998-09-21,1998-08-16,1998-10-15,DELIVER IN PERSON,AIR,ut the carefully ironic packages boost bli,1998
9412,1401,41,3,50.0,65120.0,0.0,0.08,N,O,1998-10-08,1998-09-13,1998-10-25,TAKE BACK RETURN,AIR,s along the bold package,1998
9477,1993,82,2,17.0,32214.83,0.07,0.06,N,O,1998-05-13,1998-05-27,1998-06-08,TAKE BACK RETURN,AIR,refully after t,1998
9572,106,59,3,21.0,21128.1,0.07,0.01,N,O,1998-04-29,1998-04-27,1998-05-23,COLLECT COD,AIR,e slyly regular excu,1998
9670,327,56,1,44.0,54002.08,0.1,0.07,N,O,1998-02-14,1997-12-15,1998-03-09,DELIVER IN PERSON,AIR, cajole alongside ,1998
9795,753,54,4,47.0,77726.25,0.01,0.04,N,O,1998-03-10,1998-05-04,1998-03-21,TAKE BACK RETURN,AIR,ithely final requests are ,1998
