l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
4832,1483,23,3,4.00,5537.92,0.04,0.01,N,O,1998-01-16,1998-02-12,1998-02-08,TAKE BACK RETURN,ges sleep according to the furiously ir
4901,1198,35,3,16.00,17587.04,0.05,0.08,N,O,1998-04-19,1998-03-18,1998-04-21,NONE,eat carefully across t
4901,357,58,4,41.00,51551.35,0.03,0.00,N,O,1998-03-18,1998-02-18,1998-04-14,TAKE BACK RETURN,nal multipliers. dependencies at the exp
4997,572,73,3,24.00,35341.68,0.04,0.06,N,O,1998-04-20,1998-04-23,1998-05-16,NONE,yly. furio
5184,1526,7,1,33.00,47108.16,0.07,0.04,N,O,1998-08-17,1998-10-16,1998-08-24,TAKE BACK RETURN,"asymptotes. final, ironic deposit"
5344,663,64,3,26.00,40655.16,0.02,0.06,N,O,1998-08-27,1998-08-22,1998-09-24,NONE,lar realms. regular orbits hinder tith
5348,167,68,3,16.00,17074.56,0.06,0.08,N,O,1998-02-28,1997-12-25,1998-03-12,DELIVER IN PERSON,its mold across the slyly
5410,1168,69,1,48.00,51319.68,0.04,0.08,N,O,1998-09-27,1998-09-11,1998-10-01,TAKE BACK RETURN,ietly quickly even tithes. regular ideas ha
5412,964,33,4,26.00,48488.96,0.02,0.08,N,O,1998-01-22,1998-04-19,1998-02-17,NONE,ans are slyl
5442,872,72,2,45.00,79779.15,0.08,0.01,N,O,1998-03-30,1998-02-24,1998-04-18,TAKE BACK RETURN,e furiously iron
5442,1436,54,6,26.00,34773.18,0.08,0.07,N,O,1998-03-21,1998-03-21,1998-03-25,TAKE BACK RETURN,y above the special packages-- express de
5505,1815,45,2,33.00,56654.73,0.05,0.08,N,O,1998-01-11,1997-11-11,1998-01-30,TAKE BACK RETURN,even theodolites. ironic asymp
5507,96,47,1,23.00,22910.07,0.05,0.04,N,O,1998-09-04,1998-07-04,1998-09-18,TAKE BACK RETURN,ironic instructions. fluffily final ac
5507,1377,78,2,48.00,61361.76,0.03,0.01,N,O,1998-08-03,1998-08-10,1998-08-24,DELIVER IN PERSON,ly. quickly regular deposits nod ne
5633,1018,19,2,10.00,9190.10,0.09,0.04,N,O,1998-07-15,1998-08-03,1998-08-03,COLLECT COD,unts x-ray quickly. fluffily unusual accou
5633,459,60,3,27.00,36705.15,0.03,0.02,N,O,1998-09-28,1998-07-28,1998-10-12,DELIVER IN PERSON,ate about the accounts. quickly silent
5671,1195,68,1,25.00,27404.75,0.00,0.08,N,O,1998-04-17,1998-03-28,1998-05-06,DELIVER IN PERSON,"ermanent packages might boost. special,"
5763,1892,93,6,9.00,16145.01,0.08,0.02,N,O,1998-09-24,1998-09-01,1998-10-02,NONE,"n, pending packag"
5826,1440,80,1,4.00,5365.76,0.03,0.06,N,O,1998-07-31,1998-09-10,1998-08-27,NONE,"theodolites sleep regular, silent"
5857,1180,17,4,12.00,12974.16,0.03,0.08,N,O,1998-01-24,1997-12-27,1998-02-10,TAKE BACK RETURN,quickly special dolphi
6021,630,24,1,16.00,24490.08,0.06,0.07,N,O,1998-01-28,1997-12-14,1998-02-11,COLLECT COD,y unusual packages haggle slyly; ironic
6087,1198,7,4,10.00,10991.90,0.05,0.00,N,O,1998-01-21,1998-03-26,1998-01-29,TAKE BACK RETURN,quickly pending excuses cajole. final pi
6113,1722,7,1,48.00,77938.56,0.09,0.03,N,O,1998-11-11,1998-09-23,1998-11-22,NONE,cuses. slyly regular
6145,1977,78,1,14.00,26305.58,0.04,0.00,N,O,1998-06-27,1998-06-10,1998-07-27,NONE,he requests. final deposits use
6240,965,100,2,36.00,67174.56,0.01,0.08,N,O,1998-09-06,1998-08-20,1998-09-17,NONE,along the regular deposits. furiously r
6245,1963,8,2,29.00,54083.84,0.00,0.00,N,O,1998-02-04,1998-01-10,1998-02-16,TAKE BACK RETURN,lly ironic accounts w
6306,1722,49,1,16.00,25979.52,0.08,0.01,N,O,1998-07-25,1998-06-16,1998-07-28,COLLECT COD,ss furiously instead of the ironic dep
6343,1360,99,3,31.00,39102.16,0.05,0.07,N,O,1998-07-08,1998-06-07,1998-07-28,DELIVER IN PERSON,above the quickly final deposits.
6343,1336,37,4,25.00,30933.25,0.00,0.00,N,O,1998-05-04,1998-06-15,1998-05-20,NONE,ular accoun
6343,676,77,5,48.00,75680.16,0.10,0.04,N,O,1998-04-30,1998-06-16,1998-05-18,NONE,s according to the iro
6375,396,97,5,4.00,5185.56,0.03,0.01,N,O,1998-03-05,1998-01-10,1998-03-25,NONE,refully. furiously
6471,380,9,1,49.00,62738.62,0.09,0.03,N,O,1998-05-18,1998-03-31,1998-06-12,NONE,ts around the
6533,1940,85,1,20.00,36838.80,0.09,0.07,N,O,1998-04-19,1998-04-19,1998-05-05,DELIVER IN PERSON,furiously according to the carefully
6597,281,63,1,34.00,40163.52,0.09,0.03,N,O,1998-08-20,1998-09-24,1998-09-10,TAKE BACK RETURN,e quickly sl
6789,341,98,1,2.00,2482.68,0.08,0.06,N,O,1998-06-11,1998-06-27,1998-07-01,COLLECT COD,thely ironic accounts.
6816,218,19,1,20.00,22364.20,0.01,0.02,N,O,1998-05-21,1998-03-19,1998-06-13,DELIVER IN PERSON,es. quickly final req
6819,179,6,4,20.00,21583.40,0.07,0.08,N,O,1998-04-30,1998-05-24,1998-05-12,COLLECT COD,ts wake carefully blithely even package
6919,1490,91,4,22.00,30612.78,0.09,0.04,N,O,1998-07-05,1998-06-04,1998-07-26,DELIVER IN PERSON,round the ironically regular
7168,768,33,3,21.00,35043.96,0.08,0.07,N,O,1998-02-21,1998-02-14,1998-03-09,NONE,ial ideas sleep special requests. careful
7168,1432,33,7,47.00,62671.21,0.02,0.02,N,O,1998-02-11,1998-01-23,1998-03-04,TAKE BACK RETURN,slyly even pinto beans sleep carefully af
7170,1840,41,1,33.00,57480.72,0.03,0.07,N,O,1998-02-15,1997-12-15,1998-02-28,DELIVER IN PERSON,bold accounts.
7207,1144,53,1,47.00,49121.58,0.00,0.07,N,O,1998-06-16,1998-04-05,1998-07-04,COLLECT COD,efully ironic accounts alongsi
7232,1677,1,1,47.00,74197.49,0.01,0.00,N,O,1998-06-23,1998-04-29,1998-06-27,TAKE BACK RETURN,"nto beans. regular, even packages"
7237,1057,63,2,23.00,22035.15,0.05,0.06,N,O,1998-05-13,1998-02-22,1998-05-14,DELIVER IN PERSON,final requests. ir
7264,1248,49,2,22.00,25283.28,0.10,0.03,N,O,1998-04-22,1998-04-30,1998-04-30,TAKE BACK RETURN,deposits. furiously d
7270,1308,47,3,6.00,7255.80,0.10,0.06,N,O,1998-02-26,1998-03-12,1998-03-07,COLLECT COD,ar dolphins beside the slyly reg
7271,1456,96,1,1.00,1357.45,0.06,0.08,N,O,1998-08-14,1998-10-14,1998-08-23,NONE,uickly slyly iron
7271,1257,32,4,8.00,9266.00,0.10,0.06,N,O,1998-10-06,1998-10-16,1998-11-04,DELIVER IN PERSON,excuses integrate. regular theodolites bre
7328,298,26,7,8.00,9586.32,0.01,0.06,N,O,1998-08-18,1998-06-27,1998-09-11,NONE,ses. regular requests cajole blit
7330,396,53,1,45.00,58337.55,0.08,0.08,N,O,1998-09-04,1998-09-28,1998-09-09,COLLECT COD,"c, ironic escapades haggle flu"
7365,184,63,3,44.00,47703.92,0.02,0.02,N,O,1998-07-03,1998-05-07,1998-07-07,NONE,"y. regular, pending deposits among the q"
7365,1174,83,5,41.00,44081.97,0.07,0.00,N,O,1998-04-24,1998-05-03,1998-05-11,DELIVER IN PERSON,"asymptotes. unusual, p"
7394,493,81,3,1.00,1393.49,0.07,0.04,N,O,1998-10-31,1998-08-13,1998-11-29,TAKE BACK RETURN,ly final pa
7491,1496,97,1,8.00,11179.92,0.00,0.02,N,O,1998-04-30,1998-06-28,1998-05-02,TAKE BACK RETURN,"lar, pending reques"
7491,1482,22,2,46.00,63640.08,0.09,0.08,N,O,1998-08-02,1998-05-26,1998-08-19,NONE,longside of the carefully quick
7590,689,21,2,22.00,34972.96,0.09,0.08,N,O,1998-07-08,1998-06-05,1998-07-15,COLLECT COD,efully unusual packages. quickly expre
7590,1695,19,3,13.00,20756.97,0.04,0.04,N,O,1998-05-09,1998-07-15,1998-05-18,NONE,azzle slyly
7617,520,11,1,47.00,66764.44,0.10,0.06,N,O,1998-09-19,1998-09-09,1998-09-27,NONE,"ggle regular, ironic depo"
7617,749,14,2,24.00,39593.76,0.10,0.04,N,O,1998-07-31,1998-08-07,1998-08-18,NONE,he furiously
7617,1323,100,6,44.00,53870.08,0.02,0.06,N,O,1998-10-01,1998-09-09,1998-10-29,COLLECT COD,unusual pinto beans.
7682,1067,73,2,12.00,11616.72,0.10,0.06,N,O,1997-12-06,1997-12-01,1998-01-03,DELIVER IN PERSON,"iously final, ironic instructions. slyly pe"
7683,1798,41,3,29.00,49293.91,0.04,0.05,N,O,1998-05-24,1998-05-10,1998-06-08,NONE,s across the blithely final r
7683,445,33,4,34.00,45744.96,0.10,0.05,N,O,1998-05-20,1998-03-28,1998-06-13,DELIVER IN PERSON,uriously regular deposits against the s
7685,517,18,1,32.00,45360.32,0.10,0.02,N,O,1998-06-03,1998-04-27,1998-06-05,DELIVER IN PERSON,onic packages. blithely expre
7685,574,75,4,22.00,32440.54,0.07,0.08,N,O,1998-05-11,1998-04-05,1998-06-01,NONE,r platelets
7718,291,19,1,8.00,9530.32,0.04,0.07,N,O,1998-03-15,1998-04-07,1998-03-19,DELIVER IN PERSON,"even, regular asymptotes."
7874,1834,21,1,10.00,17358.30,0.08,0.04,N,O,1998-10-11,1998-08-16,1998-11-07,COLLECT COD,quickly regular asymptotes
7874,1243,81,2,29.00,33182.96,0.01,0.07,N,O,1998-06-29,1998-08-27,1998-07-09,NONE,"ously daring instructions use even,"
7969,286,87,4,34.00,40333.52,0.04,0.04,N,O,1998-10-15,1998-09-13,1998-10-28,DELIVER IN PERSON,according to the
7972,1211,23,2,11.00,12234.31,0.03,0.00,N,O,1998-09-11,1998-07-22,1998-10-04,COLLECT COD,slyly carefully silen
8098,1211,12,1,21.00,23356.41,0.03,0.03,N,O,1997-12-13,1998-01-09,1998-01-11,NONE,nal accounts sleep quickly agai
8129,808,8,3,8.00,13670.40,0.09,0.01,N,O,1998-04-08,1998-03-12,1998-05-02,COLLECT COD,beans do haggle. furiously regul
8134,947,48,3,27.00,49894.38,0.06,0.04,N,O,1998-01-14,1997-12-25,1998-01-25,TAKE BACK RETURN,about the ruthlessly specia
8134,1257,69,5,23.00,26639.75,0.05,0.06,N,O,1998-01-19,1998-01-22,1998-01-28,COLLECT COD,"ronic, even th"
8355,947,50,3,13.00,24023.22,0.09,0.07,N,O,1997-12-13,1998-02-13,1998-01-10,NONE,"s carefully final ideas. ironic, express"
8549,926,29,4,50.00,91346.00,0.07,0.05,N,O,1998-01-17,1997-11-30,1998-02-02,TAKE BACK RETURN,ong the sly asymptotes affix furiously iron
8643,1067,3,1,17.00,16457.02,0.10,0.08,N,O,1998-09-23,1998-09-02,1998-10-12,COLLECT COD,ts above the special courts snooze furi
8708,421,9,5,17.00,22464.14,0.04,0.05,N,O,1998-03-12,1998-02-08,1998-04-04,NONE,egular foxes. blith
8739,1746,73,1,20.00,32954.80,0.06,0.04,N,O,1998-08-18,1998-08-10,1998-09-10,TAKE BACK RETURN,carefully express pearls. fluff
8866,1673,56,1,32.00,50389.44,0.04,0.00,N,O,1998-06-22,1998-04-09,1998-07-17,COLLECT COD,riously unusu
8935,1941,30,1,49.00,90304.06,0.05,0.01,N,O,1998-06-15,1998-05-15,1998-06-22,COLLECT COD,usual ideas. slyly spe
8964,537,68,3,1.00,1437.53,0.07,0.05,N,O,1998-04-04,1998-05-01,1998-04-12,TAKE BACK RETURN,n deposits across the pending
9030,1502,3,5,47.00,65964.50,0.00,0.04,N,O,1998-09-29,1998-09-24,1998-10-13,COLLECT COD,quickly quickly even a
9125,1232,70,3,14.00,15865.22,0.08,0.07,N,O,1998-06-05,1998-08-05,1998-06-11,TAKE BACK RETURN,"grouches. regular, bold requests around th"
9188,1009,45,2,13.00,11830.00,0.06,0.00,N,O,1998-05-24,1998-03-02,1998-06-12,NONE,"sual, express dependenci"
9220,1125,62,1,1.00,1026.12,0.07,0.04,N,O,1998-07-06,1998-07-06,1998-08-03,DELIVER IN PERSON,accounts. furiously iron
9280,576,67,6,14.00,20671.98,0.07,0.04,N,O,1998-09-21,1998-08-16,1998-10-15,DELIVER IN PERSON,ut the carefully ironic packages boost bli
9412,1401,41,3,50.00,65120.00,0.00,0.08,N,O,1998-10-08,1998-09-13,1998-10-25,TAKE BACK RETURN,s along the bold package
9477,1993,82,2,17.00,32214.83,0.07,0.06,N,O,1998-05-13,1998-05-27,1998-06-08,TAKE BACK RETURN,refully after t
9572,106,59,3,21.00,21128.10,0.07,0.01,N,O,1998-04-29,1998-04-27,1998-05-23,COLLECT COD,e slyly regular excu
9670,327,56,1,44.00,54002.08,0.10,0.07,N,O,1998-02-14,1997-12-15,1998-03-09,DELIVER IN PERSON,cajole alongside
9795,753,54,4,47.00,77726.25,0.01,0.04,N,O,1998-03-10,1998-05-04,1998-03-21,TAKE BACK RETURN,ithely final requests are
9830,1806,7,5,42.00,71727.60,0.10,0.08,N,O,1997-12-25,1997-11-07,1998-01-15,DELIVER IN PERSON,y even requests. blithely ironic
9862,396,97,2,11.00,14260.29,0.06,0.06,N,O,1997-12-18,1998-01-03,1998-01-12,TAKE BACK RETURN,sly pinto beans
9984,800,97,4,27.00,45921.60,0.04,0.05,N,O,1998-07-14,1998-08-21,1998-07-15,TAKE BACK RETURN,e quickly among the id
10404,463,93,4,6.00,8180.76,0.07,0.04,N,O,1998-06-27,1998-06-13,1998-07-02,COLLECT COD,re carefully final foxes. fina
10501,463,93,5,11.00,14998.06,0.06,0.02,N,O,1998-10-28,1998-09-06,1998-11-21,TAKE BACK RETURN,yly pending deposits are furiously pendin
10529,1866,67,3,31.00,54803.66,0.05,0.08,N,O,1998-01-15,1997-12-13,1998-02-05,DELIVER IN PERSON,lyly final instruc
10532,1083,54,3,26.00,25586.08,0.02,0.02,N,O,1998-01-05,1998-02-02,1998-01-23,DELIVER IN PERSON,"ackages. pending, bold ideas cajole fur"
10660,1000,3,3,48.00,43248.00,0.10,0.02,N,O,1998-07-24,1998-06-28,1998-08-13,TAKE BACK RETURN,theodolites after
10694,1006,7,2,11.00,9977.00,0.08,0.03,N,O,1998-03-07,1998-02-26,1998-03-23,TAKE BACK RETURN,ar instructions. carefully express theodol
10694,903,38,3,32.00,57724.80,0.08,0.04,N,O,1997-12-24,1998-01-17,1998-01-19,COLLECT COD,: blithely
10720,1228,66,5,15.00,16938.30,0.06,0.06,N,O,1998-05-05,1998-06-11,1998-05-22,NONE,he furiously final deposits
10818,598,99,4,33.00,49453.47,0.06,0.03,N,O,1998-08-11,1998-07-30,1998-08-25,TAKE BACK RETURN,even theodolites. accounts use s
10854,785,82,1,3.00,5057.34,0.08,0.05,N,O,1998-08-11,1998-07-30,1998-08-17,DELIVER IN PERSON,the ironic deposits. quickly slow waters
10882,964,65,1,37.00,69003.52,0.05,0.02,N,O,1998-07-18,1998-07-23,1998-08-11,COLLECT COD,s. blithely special th
10885,1963,8,1,22.00,41029.12,0.01,0.05,N,O,1998-05-29,1998-07-13,1998-06-04,NONE,y packages. ironic requests among the fu
11012,410,98,1,47.00,61589.27,0.06,0.06,N,O,1998-07-25,1998-05-23,1998-08-01,NONE,scapades are fur
11298,370,55,1,34.00,43192.58,0.04,0.00,N,O,1998-03-09,1998-03-07,1998-03-26,DELIVER IN PERSON,nts haggle f
