l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
390,1277,15,5,13.00,15317.51,0.02,0.06,N,O,1998-07-08,1998-05-10,1998-07-18,DELIVER IN PERSON,ckly at the blithely pending requests. c
390,1247,22,6,11.00,12630.64,0.09,0.06,N,O,1998-05-05,1998-05-15,1998-06-01,DELIVER IN PERSON,boost up the foxes. quickly pending f
451,766,63,4,28.00,46669.28,0.04,0.05,N,O,1998-06-16,1998-07-09,1998-06-17,DELIVER IN PERSON,pending pinto beans. b
708,1792,93,2,19.00,32182.01,0.06,0.00,N,O,1998-10-28,1998-09-23,1998-11-25,COLLECT COD,egular theodolites cajole a
708,1425,43,5,36.00,47751.12,0.08,0.01,N,O,1998-07-16,1998-09-04,1998-08-11,NONE,s. express ideas along the s
838,283,84,2,27.00,31948.56,0.05,0.07,N,O,1998-02-15,1998-04-03,1998-02-20,DELIVER IN PERSON,old packages haggle slyly about the
864,1297,35,1,34.00,40741.86,0.03,0.04,N,O,1997-12-16,1997-10-23,1998-01-12,TAKE BACK RETURN,y regular dependencies boost q
992,1048,49,3,30.00,28471.20,0.10,0.00,N,O,1997-12-15,1998-02-02,1998-01-12,NONE,instructions; even
996,1724,9,1,43.00,69905.96,0.03,0.06,N,O,1998-03-27,1998-03-25,1998-04-06,COLLECT COD,egular deposits ought to haggle platelets.
1024,1254,29,2,34.00,39278.50,0.00,0.01,N,O,1998-01-06,1998-02-05,1998-01-26,COLLECT COD,are blithely aroun
1124,54,5,2,13.00,12402.65,0.05,0.04,N,O,1998-09-05,1998-10-03,1998-09-30,DELIVER IN PERSON,ts sleep qui
1124,749,82,5,33.00,54441.42,0.05,0.04,N,O,1998-10-19,1998-09-17,1998-10-26,TAKE BACK RETURN,slyly. even accounts do haggle. c
1157,821,88,2,4.00,6887.28,0.10,0.05,N,O,1998-02-24,1998-03-30,1998-03-24,DELIVER IN PERSON,cajole blithely ironi
1315,956,91,1,27.00,50137.65,0.01,0.03,N,O,1998-07-04,1998-06-13,1998-07-28,NONE,e furiously. furiously regular de
1315,1610,34,4,19.00,28720.59,0.02,0.05,N,O,1998-07-05,1998-05-23,1998-08-04,TAKE BACK RETURN,quickly. carefully regular deposit
1315,1586,27,5,32.00,47602.56,0.10,0.05,N,O,1998-03-30,1998-06-12,1998-04-25,NONE,tions sleep. bold
1348,943,78,1,13.00,23971.22,0.01,0.01,N,O,1998-04-28,1998-06-05,1998-05-12,TAKE BACK RETURN,gular foxes
1351,1073,74,1,25.00,24351.75,0.06,0.04,N,O,1998-06-02,1998-05-25,1998-06-22,COLLECT COD,"al, final pa"
1377,834,1,3,26.00,45105.58,0.07,0.07,N,O,1998-05-28,1998-06-11,1998-06-25,COLLECT COD,ar ideas around the blithely final ac
1377,1201,13,4,39.00,42985.80,0.00,0.03,N,O,1998-07-27,1998-07-18,1998-08-13,DELIVER IN PERSON,bold accounts sleep. slowly unusual s
1475,1680,4,1,15.00,23725.20,0.08,0.06,N,O,1998-02-12,1997-12-17,1998-03-02,TAKE BACK RETURN,"ccording to the even, regular requests. bo"
1569,692,93,4,30.00,47780.70,0.02,0.03,N,O,1998-07-19,1998-06-04,1998-08-10,NONE,packages. furiously silent deposits nag fur
1667,950,19,3,48.00,88845.60,0.05,0.01,N,O,1998-01-27,1998-01-06,1998-02-09,TAKE BACK RETURN,ly across the ironic packages. fur
1667,1944,77,5,2.00,3691.88,0.07,0.00,N,O,1997-12-17,1997-11-22,1998-01-16,NONE,ironic ideas use sl
1667,400,29,7,19.00,24707.60,0.09,0.03,N,O,1998-01-23,1997-11-24,1998-01-26,DELIVER IN PERSON,"ggedly according to the quiet, regular i"
1730,95,71,4,40.00,39803.60,0.02,0.03,N,O,1998-10-02,1998-10-06,1998-10-03,NONE,iers. idly sil
1893,983,18,1,43.00,81011.14,0.10,0.00,N,O,1998-01-25,1998-01-06,1998-02-14,COLLECT COD,about the slyly silen
1920,508,69,2,31.00,43663.50,0.05,0.06,N,O,1998-08-01,1998-08-30,1998-08-17,COLLECT COD,packages caj
1920,172,99,3,6.00,6433.02,0.01,0.05,N,O,1998-10-01,1998-08-20,1998-10-24,COLLECT COD,es. sly gifts nag slyl
2372,1634,17,3,12.00,18427.56,0.04,0.04,N,O,1998-03-21,1997-12-21,1998-04-12,DELIVER IN PERSON,totes. final asym
2372,561,62,7,19.00,27769.64,0.01,0.06,N,O,1997-12-26,1998-02-19,1998-01-02,COLLECT COD,ly never bold decoys. u
2400,526,17,3,23.00,32809.96,0.02,0.08,N,O,1998-08-05,1998-08-28,1998-08-30,NONE,e carefully slyly express accounts. caref
2403,1925,26,3,27.00,49326.84,0.05,0.03,N,O,1998-07-27,1998-07-08,1998-08-03,NONE,the final accounts are regular package
2565,1144,53,3,34.00,35534.76,0.06,0.06,N,O,1998-03-19,1998-04-12,1998-04-17,DELIVER IN PERSON,ular deposits. final p
2567,258,40,1,39.00,45171.75,0.03,0.04,N,O,1998-05-10,1998-05-10,1998-05-21,NONE,aggle carefully. fluffily ironic idea
2629,1179,80,1,6.00,6481.02,0.06,0.05,N,O,1998-06-10,1998-05-29,1998-06-13,DELIVER IN PERSON,carefully pending
2692,1136,9,2,21.00,21779.73,0.03,0.05,N,O,1998-03-11,1998-02-11,1998-03-19,NONE,iously unusual notornis cajole. unusual
3079,1876,20,5,2.00,3555.74,0.10,0.00,N,O,1997-12-27,1997-10-25,1998-01-08,COLLECT COD,al packages x-ray slyly
3203,1435,36,1,23.00,30737.89,0.01,0.07,N,O,1998-01-04,1998-01-12,1998-01-24,COLLECT COD,instead of the slowly regular r
3207,706,3,2,42.00,67481.40,0.00,0.00,N,O,1998-05-02,1998-05-10,1998-06-01,NONE,ests. regular ideas above the slyly regular
3207,189,42,4,32.00,34853.76,0.00,0.03,N,O,1998-06-17,1998-04-26,1998-07-07,TAKE BACK RETURN,instructions. busily final courts wa
3207,828,62,5,8.00,13830.56,0.00,0.06,N,O,1998-06-13,1998-04-26,1998-07-11,COLLECT COD,ly even packa
3239,1949,50,4,26.00,48124.44,0.03,0.05,N,O,1998-01-21,1998-03-21,1998-02-08,DELIVER IN PERSON,riously. slyly even pinto beans
3303,1839,40,1,25.00,43520.75,0.06,0.01,N,O,1998-03-25,1998-01-31,1998-04-12,NONE,"s. even, unusu"
3303,209,10,2,15.00,16638.00,0.04,0.06,N,O,1998-01-29,1998-01-22,1998-02-21,COLLECT COD,nal ideas?
3360,571,2,5,4.00,5886.28,0.08,0.07,N,O,1998-02-27,1998-03-23,1998-03-28,COLLECT COD,egular plate
3523,1913,58,4,36.00,65336.76,0.06,0.08,N,O,1998-05-26,1998-06-04,1998-06-25,DELIVER IN PERSON,"ng the regular, unusual"
3651,181,60,1,20.00,21623.60,0.01,0.04,N,O,1998-06-10,1998-06-06,1998-06-23,NONE,en pinto beans. slyly bo
3713,1299,100,7,14.00,16804.06,0.04,0.00,N,O,1998-07-19,1998-07-02,1998-07-28,DELIVER IN PERSON,nic asymptotes. bold pint
3840,1062,63,6,33.00,31780.98,0.10,0.02,N,O,1998-07-29,1998-10-06,1998-08-04,DELIVER IN PERSON,s are along the furiou
4039,1333,34,5,43.00,53076.19,0.09,0.00,N,O,1998-01-20,1998-01-11,1998-02-05,COLLECT COD,d furiously. slyly bold
4164,1197,70,1,9.00,9883.71,0.07,0.02,N,O,1998-08-25,1998-08-13,1998-09-19,DELIVER IN PERSON,rding to the carefully final requ
4196,1551,92,1,30.00,43576.50,0.02,0.06,N,O,1998-08-09,1998-06-30,1998-09-05,COLLECT COD,gular foxes. bl
4386,895,96,6,18.00,32326.02,0.02,0.05,N,O,1998-04-12,1998-04-09,1998-05-12,TAKE BACK RETURN,dependencies about the carefully pendin
4448,516,77,1,24.00,33996.24,0.10,0.07,N,O,1998-09-09,1998-07-06,1998-09-27,DELIVER IN PERSON,"excuses above the pending, bold request"
4449,1407,47,2,10.00,13084.00,0.02,0.03,N,O,1998-05-09,1998-05-04,1998-05-15,NONE,nal packages sleep across the quickly spe
4613,374,75,1,17.00,21664.29,0.09,0.07,N,O,1998-06-07,1998-05-11,1998-06-29,DELIVER IN PERSON,ke-- silently
4613,1079,15,2,25.00,24501.75,0.05,0.04,N,O,1998-05-22,1998-04-11,1998-05-27,TAKE BACK RETURN,egular excuses. deposits sleep furiously.
4644,966,67,2,16.00,29871.36,0.03,0.04,N,O,1998-03-13,1998-02-21,1998-04-03,COLLECT COD,beans haggle. carefully
4644,1540,81,4,45.00,64869.30,0.10,0.07,N,O,1998-02-02,1998-04-08,1998-02-15,COLLECT COD,eep slyly fu
4678,1167,4,2,18.00,19226.88,0.03,0.06,N,O,1998-10-30,1998-09-22,1998-11-25,TAKE BACK RETURN,cajole along
4678,954,23,3,13.00,24114.35,0.10,0.07,N,O,1998-11-03,1998-10-17,1998-11-06,TAKE BACK RETURN,kages. packages are sly
4678,218,73,4,23.00,25718.83,0.06,0.05,N,O,1998-09-03,1998-09-20,1998-09-04,DELIVER IN PERSON,ly after the s
4711,1441,42,2,15.00,20136.60,0.08,0.07,N,O,1998-06-09,1998-07-30,1998-06-18,COLLECT COD,"lar instructions sleep silent,"
4711,641,35,4,8.00,12333.12,0.07,0.00,N,O,1998-06-17,1998-06-13,1998-06-27,TAKE BACK RETURN,ial deposits. furiously pending packages b
4711,489,48,5,15.00,20842.20,0.05,0.01,N,O,1998-09-03,1998-07-15,1998-09-13,TAKE BACK RETURN,o beans. quickly ironic theodolit
4711,1157,58,6,45.00,47616.75,0.05,0.06,N,O,1998-05-19,1998-07-14,1998-05-21,COLLECT COD,even deposits above
4997,219,47,5,46.00,51483.66,0.00,0.04,N,O,1998-04-28,1998-06-04,1998-05-08,TAKE BACK RETURN,pending pinto beans sleep
5026,954,89,1,13.00,24114.35,0.02,0.04,N,O,1997-12-23,1997-11-02,1998-01-03,TAKE BACK RETURN,re carefully. carefully silent f
5058,1925,70,1,16.00,29230.72,0.09,0.07,N,O,1998-07-12,1998-06-09,1998-07-15,DELIVER IN PERSON,". even, sly deposit"
5280,961,96,1,16.00,29791.36,0.02,0.03,N,O,1998-03-29,1998-01-28,1998-04-03,TAKE BACK RETURN,cuses nag carefully about the
5282,573,64,3,28.00,41259.96,0.03,0.06,N,O,1998-05-06,1998-04-24,1998-05-30,COLLECT COD,uriously against t
5345,826,60,1,3.00,5180.46,0.05,0.01,N,O,1997-12-10,1997-10-03,1998-01-05,COLLECT COD,cross the daring deposits. b
5380,1838,82,3,40.00,69593.20,0.02,0.08,N,O,1997-12-30,1997-11-27,1998-01-09,DELIVER IN PERSON,ously even gifts haggle f
5412,737,34,3,31.00,50769.63,0.05,0.08,N,O,1998-03-23,1998-04-17,1998-04-10,NONE,quickly daring pinto beans cajole furio
5413,1255,56,1,48.00,55500.00,0.02,0.08,N,O,1998-01-25,1997-11-20,1998-02-22,COLLECT COD,"hely ironic, ironic foxes. final, ir"
5477,793,90,1,20.00,33875.80,0.03,0.01,N,O,1998-03-21,1998-02-09,1998-04-07,TAKE BACK RETURN,hely after the quickly bol
5477,762,95,2,21.00,34917.96,0.03,0.00,N,O,1998-01-28,1998-02-15,1998-02-24,TAKE BACK RETURN,tes wake slyly afte
5505,1620,3,5,46.00,69994.52,0.05,0.00,N,O,1998-01-06,1997-11-04,1998-02-04,TAKE BACK RETURN,stealthily final accounts. carefully ir
5507,1315,16,5,48.00,58382.88,0.06,0.01,N,O,1998-07-21,1998-07-15,1998-07-31,DELIVER IN PERSON,lly final theodolite
5604,771,4,3,10.00,16717.70,0.07,0.05,N,O,1998-08-03,1998-06-23,1998-08-04,COLLECT COD,to the slyly bold pinto b
5633,1593,14,1,28.00,41848.52,0.02,0.00,N,O,1998-08-14,1998-07-24,1998-08-26,TAKE BACK RETURN,ial pinto beans nag carefully. i
5671,1103,12,4,42.00,42172.20,0.00,0.07,N,O,1998-02-17,1998-04-24,1998-03-17,TAKE BACK RETURN,"fully. regular, unusual request"
5730,1501,2,1,2.00,2805.00,0.08,0.00,N,O,1998-02-24,1998-03-15,1998-03-11,COLLECT COD,above the carefully thin
5761,1974,7,3,49.00,91922.53,0.04,0.08,N,O,1998-07-14,1998-08-20,1998-07-25,NONE,"xes. regular, even instructions"
5763,1357,96,2,23.00,28942.05,0.09,0.04,N,O,1998-07-25,1998-09-21,1998-08-15,DELIVER IN PERSON,the ironically regul
5798,1487,5,5,7.00,9719.36,0.06,0.07,N,O,1998-06-06,1998-05-10,1998-06-07,NONE,al packages! slyly ironic pinto
5826,638,39,2,18.00,27695.34,0.04,0.01,N,O,1998-07-17,1998-09-03,1998-07-22,NONE,uffily. special dec
5827,1991,92,4,26.00,49217.74,0.06,0.00,N,O,1998-07-29,1998-09-24,1998-07-30,DELIVER IN PERSON,ns sleep blithely furiously final a
5857,679,73,3,1.00,1579.67,0.03,0.01,N,O,1998-02-01,1997-12-09,1998-02-20,TAKE BACK RETURN,l pinto beans are slyly. ironic
6023,21,72,4,48.00,44208.96,0.02,0.07,N,O,1998-06-25,1998-05-25,1998-07-04,TAKE BACK RETURN,al courts wake around the final pattern
6049,1021,27,1,44.00,40568.88,0.00,0.07,N,O,1998-06-26,1998-04-18,1998-06-29,DELIVER IN PERSON,lyly ironi
6049,583,74,2,1.00,1483.58,0.00,0.05,N,O,1998-06-17,1998-05-05,1998-07-12,COLLECT COD,ccording to the slyl
6049,1664,6,3,10.00,15656.60,0.08,0.04,N,O,1998-04-06,1998-05-15,1998-05-03,DELIVER IN PERSON,final ide
6049,382,39,4,41.00,52577.58,0.05,0.00,N,O,1998-04-13,1998-05-19,1998-05-13,COLLECT COD,regular deposits. express
6051,1347,24,2,8.00,9986.72,0.05,0.07,N,O,1998-06-09,1998-08-01,1998-06-22,NONE,ironic excuses sleep aft
6051,836,37,4,17.00,29526.11,0.09,0.05,N,O,1998-08-17,1998-07-28,1998-08-29,NONE,"ar, stealthy packages cajole car"
6081,549,80,2,8.00,11596.32,0.07,0.08,N,O,1998-02-22,1998-01-06,1998-03-11,TAKE BACK RETURN,furiously ironic accounts wake
6087,503,64,2,43.00,60350.50,0.04,0.06,N,O,1998-04-17,1998-03-14,1998-04-28,TAKE BACK RETURN,y even requests. furiously pend
6113,656,50,7,11.00,17123.15,0.09,0.04,N,O,1998-09-11,1998-09-20,1998-09-29,DELIVER IN PERSON,deposits. express instructions na
6114,549,80,2,14.00,20293.56,0.07,0.07,N,O,1998-04-17,1998-05-25,1998-05-07,TAKE BACK RETURN,efully regular pains nag foxes. quickly
6114,931,100,3,27.00,49462.11,0.03,0.04,N,O,1998-04-23,1998-07-05,1998-05-21,DELIVER IN PERSON,efully express deposits above the dec
6242,1436,76,1,46.00,61521.78,0.09,0.06,N,O,1998-02-22,1998-02-15,1998-03-14,TAKE BACK RETURN,ns. fluffily ironic accounts cajole abov
6242,1056,27,5,9.00,8613.45,0.06,0.04,N,O,1998-01-21,1998-02-11,1998-02-20,TAKE BACK RETURN,"re furiously final, even deposits. bu"
6242,223,51,6,33.00,37066.26,0.01,0.04,N,O,1998-03-15,1998-01-03,1998-04-05,NONE,the blithely busy instructi
6245,1141,42,1,47.00,48980.58,0.09,0.01,N,O,1997-12-20,1998-01-25,1998-01-09,NONE,packages above the final accounts hagg
6342,1072,43,5,18.00,17515.26,0.02,0.06,N,O,1998-02-19,1998-02-16,1998-03-01,NONE,carefully fluffily even requests. s
6375,646,47,1,40.00,61865.60,0.08,0.05,N,O,1998-01-10,1998-01-28,1998-01-18,DELIVER IN PERSON,packages. ironic
6471,1895,82,6,16.00,28750.24,0.03,0.07,N,O,1998-04-29,1998-04-09,1998-05-02,TAKE BACK RETURN,ng to the regula
6533,1446,25,2,46.00,61982.24,0.07,0.05,N,O,1998-04-02,1998-05-30,1998-04-03,TAKE BACK RETURN,l theodolites wake blithely
6599,1604,5,1,41.00,61729.60,0.00,0.07,N,O,1998-04-26,1998-06-16,1998-05-04,DELIVER IN PERSON,n theodoli
6659,1830,17,1,26.00,45027.58,0.04,0.03,N,O,1998-01-18,1998-03-12,1998-01-23,DELIVER IN PERSON,usly regular
6660,1644,68,1,25.00,38641.00,0.03,0.00,N,O,1998-07-16,1998-07-11,1998-07-26,DELIVER IN PERSON,iously regular accounts haggle ruthle
6723,1103,76,2,39.00,39159.90,0.03,0.06,N,O,1998-08-22,1998-07-11,1998-09-07,TAKE BACK RETURN,sly. fluffily pending
6723,1629,12,5,49.00,75000.38,0.06,0.07,N,O,1998-09-30,1998-07-06,1998-10-10,COLLECT COD,lithely regular dependencies. carefully spe
6819,1387,2,5,46.00,59265.48,0.06,0.00,N,O,1998-06-29,1998-05-08,1998-07-23,NONE,ven requests after the
6849,1699,100,4,43.00,68829.67,0.05,0.02,N,O,1998-03-02,1998-03-23,1998-03-09,DELIVER IN PERSON,ring requests s
6983,442,1,1,47.00,63094.68,0.07,0.03,N,O,1998-04-22,1998-04-12,1998-05-04,NONE,y regular dolphins cajole carefully iro
7168,1069,70,1,13.00,12610.78,0.00,0.02,N,O,1998-01-23,1998-01-24,1998-02-10,COLLECT COD,deposits haggle busily.
7168,1914,3,4,42.00,76268.22,0.00,0.04,N,O,1998-02-15,1998-03-11,1998-03-06,COLLECT COD,uctions. quick
7172,799,64,1,8.00,13598.32,0.09,0.03,N,O,1997-12-18,1997-12-04,1998-01-10,TAKE BACK RETURN,"ar, quick accounts. quickly final pa"
7264,811,45,1,18.00,30812.58,0.08,0.08,N,O,1998-04-08,1998-05-05,1998-05-01,NONE,y final platelets will have to mai
7271,377,34,5,17.00,21715.29,0.09,0.03,N,O,1998-09-30,1998-10-26,1998-10-05,TAKE BACK RETURN,blithely regular instructions. regular
7271,22,98,6,42.00,38724.84,0.05,0.04,N,O,1998-11-07,1998-10-01,1998-11-08,TAKE BACK RETURN,"ironic, regular requests detect p"
7328,1962,7,1,39.00,72694.44,0.10,0.04,N,O,1998-06-24,1998-07-18,1998-07-17,TAKE BACK RETURN,ake blithely thin foxes. carefu
7328,1095,1,3,40.00,39843.60,0.01,0.02,N,O,1998-08-09,1998-05-30,1998-08-18,DELIVER IN PERSON,ts after the ironic i
7328,387,44,4,15.00,19310.70,0.05,0.05,N,O,1998-07-31,1998-05-25,1998-08-13,TAKE BACK RETURN,dependencies. slowly ironic
7328,283,84,5,28.00,33131.84,0.04,0.06,N,O,1998-06-21,1998-06-01,1998-06-28,DELIVER IN PERSON,accounts detect q
7330,599,60,5,42.00,62982.78,0.02,0.08,N,O,1998-07-15,1998-09-07,1998-07-20,DELIVER IN PERSON,atelets. blithely slow instructions wake f
7365,476,77,1,35.00,48176.45,0.04,0.03,N,O,1998-05-29,1998-05-25,1998-06-11,DELIVER IN PERSON,uests boost blithely final
7365,108,87,2,17.00,17137.70,0.05,0.00,N,O,1998-06-28,1998-05-17,1998-07-16,COLLECT COD,. instructions hang fluffily even
7394,706,7,1,25.00,40167.50,0.09,0.03,N,O,1998-07-16,1998-09-13,1998-08-06,NONE,"he pending, ironic requests. carefully iron"
7394,8,59,2,17.00,15436.00,0.02,0.01,N,O,1998-09-18,1998-08-11,1998-10-18,TAKE BACK RETURN,he quickly regular deposits cajole about th
7395,803,4,1,4.00,6815.20,0.09,0.08,N,O,1998-02-23,1998-04-15,1998-03-25,DELIVER IN PERSON,"ly brave gifts. special, final theodol"
7590,290,45,4,49.00,58324.21,0.04,0.02,N,O,1998-05-01,1998-07-12,1998-05-05,NONE,thely pending requests
7683,496,55,2,49.00,68428.01,0.00,0.05,N,O,1998-06-05,1998-04-12,1998-06-11,COLLECT COD,. slyly unusual
7685,865,32,5,35.00,61805.10,0.06,0.00,N,O,1998-06-09,1998-05-14,1998-06-10,NONE,final requests. furiously ironic ins
7718,643,37,2,3.00,4630.92,0.09,0.00,N,O,1998-04-06,1998-04-19,1998-04-25,DELIVER IN PERSON,theodolites. furiously
7718,874,41,5,13.00,23073.31,0.04,0.01,N,O,1998-03-28,1998-03-23,1998-04-05,DELIVER IN PERSON,"special, even deposits boost quickly final"
7777,334,19,2,48.00,59247.84,0.08,0.08,N,O,1998-05-16,1998-04-29,1998-06-03,TAKE BACK RETURN,boost fluffily. furiously bol
7780,544,35,1,28.00,40447.12,0.00,0.00,N,O,1998-02-26,1998-03-29,1998-03-20,TAKE BACK RETURN,es affix carefully across the
7874,284,39,5,2.00,2368.56,0.07,0.03,N,O,1998-10-12,1998-08-12,1998-10-19,NONE,platelets
7969,1354,55,6,6.00,7532.10,0.07,0.08,N,O,1998-08-21,1998-09-20,1998-09-03,COLLECT COD,es must have to wake. special acco
7972,423,82,4,44.00,58230.48,0.02,0.00,N,O,1998-05-28,1998-07-27,1998-05-29,COLLECT COD,er the iro
8129,635,36,1,39.00,59889.57,0.10,0.05,N,O,1998-03-17,1998-03-04,1998-04-04,DELIVER IN PERSON,"ns hang furiously final, regular deposits."
8262,1228,29,4,23.00,25972.06,0.05,0.04,N,O,1998-06-22,1998-07-25,1998-07-11,COLLECT COD,above the
8355,998,67,7,31.00,58868.69,0.02,0.02,N,O,1997-12-29,1998-02-16,1998-01-18,TAKE BACK RETURN,ges engage carefully even frets
8549,683,77,3,44.00,69681.92,0.10,0.07,N,O,1998-01-14,1997-11-06,1998-02-05,TAKE BACK RETURN,blithely silent ide
8707,1259,60,4,2.00,2320.50,0.03,0.00,N,O,1998-01-31,1998-03-04,1998-02-09,DELIVER IN PERSON,blithely around the fluffil
8708,841,8,6,31.00,53997.04,0.03,0.05,N,O,1998-02-16,1998-02-04,1998-02-21,NONE,side of the
8737,276,58,7,13.00,15291.51,0.09,0.04,N,O,1998-01-08,1998-02-21,1998-02-04,COLLECT COD,about the blithely even asymp
8740,379,36,1,31.00,39660.47,0.08,0.06,N,O,1998-09-01,1998-09-05,1998-09-22,NONE,press deposits. final deposits s
8866,1383,22,5,26.00,33393.88,0.06,0.01,N,O,1998-02-28,1998-04-06,1998-03-03,NONE,carefully. theodolites a
8929,1294,6,2,38.00,45421.02,0.05,0.04,N,O,1997-12-27,1997-12-06,1998-01-23,TAKE BACK RETURN,ronic requests cajole about the furiousl
8935,1106,7,2,4.00,4028.40,0.03,0.04,N,O,1998-05-22,1998-05-17,1998-06-17,DELIVER IN PERSON,e the express packages. final idea
9125,1709,94,4,42.00,67649.40,0.05,0.04,N,O,1998-09-07,1998-08-20,1998-09-11,TAKE BACK RETURN,ar request
9125,371,100,7,26.00,33055.62,0.05,0.02,N,O,1998-07-16,1998-08-10,1998-07-18,DELIVER IN PERSON,ep slyly among the final asymptotes
9188,574,35,3,23.00,33915.11,0.07,0.06,N,O,1998-04-01,1998-03-18,1998-04-21,COLLECT COD,furiously doggedly ironic
9252,914,17,1,24.00,43557.84,0.08,0.03,N,O,1998-02-18,1998-02-07,1998-03-06,TAKE BACK RETURN,totes sleep care
9349,379,8,2,12.00,15352.44,0.01,0.06,N,O,1997-12-23,1997-11-09,1998-01-09,DELIVER IN PERSON,bove the slyly unu
9412,1350,89,1,11.00,13764.85,0.09,0.03,N,O,1998-10-31,1998-09-04,1998-11-22,COLLECT COD,"; blithely express requests boost ironic,"
9412,1601,25,4,40.00,60104.00,0.10,0.07,N,O,1998-10-20,1998-09-04,1998-11-01,COLLECT COD,ermanent requests. carefully even acco
9445,1299,37,2,40.00,48011.60,0.04,0.08,N,O,1998-01-30,1998-02-02,1998-02-12,NONE,pinto beans. carefully express accoun
9477,1051,22,1,3.00,2856.15,0.06,0.00,N,O,1998-04-07,1998-05-13,1998-04-30,NONE,eas. packages use carefully careful
9477,1189,90,7,34.00,37066.12,0.00,0.07,N,O,1998-04-10,1998-06-06,1998-05-03,NONE,etect carefully among
9634,894,94,1,43.00,77180.27,0.06,0.04,N,O,1998-02-23,1998-03-01,1998-03-05,COLLECT COD,lly pending depo
9670,1842,72,4,46.00,80216.64,0.06,0.03,N,O,1998-01-07,1998-02-05,1998-01-23,COLLECT COD,h above the regular accou
9760,652,84,2,30.00,46579.50,0.03,0.07,N,O,1998-05-31,1998-05-24,1998-06-21,NONE,y even dependencies serve carefully acros
9795,1153,62,1,13.00,13703.95,0.08,0.01,N,O,1998-05-26,1998-03-16,1998-06-07,NONE,across the furiously reg
9795,1287,88,6,34.00,40401.52,0.05,0.07,N,O,1998-02-25,1998-03-07,1998-03-07,TAKE BACK RETURN,tructions alongside
9827,279,7,1,16.00,18868.32,0.09,0.08,N,O,1998-08-15,1998-09-13,1998-09-08,NONE,ul deposits sleep.
9862,1827,57,4,4.00,6915.28,0.10,0.01,N,O,1997-12-12,1997-12-06,1998-01-04,TAKE BACK RETURN,even requests. special packages nag fluffi
10017,326,55,1,50.00,61316.00,0.01,0.01,N,O,1998-06-07,1998-05-25,1998-06-10,NONE,usly special accounts nag b
10017,1319,96,2,31.00,37829.61,0.04,0.07,N,O,1998-07-27,1998-05-12,1998-08-23,TAKE BACK RETURN,express accounts sleep care
10273,228,29,2,50.00,56411.00,0.05,0.03,N,O,1998-07-08,1998-07-03,1998-07-27,COLLECT COD,uriously ironic deposits? bl
10307,1864,8,4,29.00,51209.94,0.08,0.06,N,O,1998-03-10,1998-04-28,1998-04-02,COLLECT COD,quickly ironic requests n
10401,1421,22,1,1.00,1322.42,0.08,0.04,N,O,1998-08-30,1998-09-14,1998-09-23,NONE,ly even foxes. regular ideas are packages.
10404,1509,10,3,49.00,69114.50,0.02,0.02,N,O,1998-04-20,1998-05-13,1998-04-22,DELIVER IN PERSON,lar theodolites m
10532,1771,14,1,25.00,41819.25,0.00,0.01,N,O,1997-12-30,1998-01-26,1998-01-13,DELIVER IN PERSON,eans. furiously pending sheaves hag
10532,1821,8,2,15.00,25842.30,0.00,0.07,N,O,1998-03-26,1997-12-30,1998-04-25,NONE,ymptotes above the
